Tanggal,Beras Premium,Beras Medium,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Murni,Daging Ayam Ras,Telur Ayam Ras,Gula Pasir/Konsumsi,Minyak Goreng Kms. Sederhana,Tepung Terigu (Curah),Minyak Goreng Curah,Cabai Merah Besar,Jagung Pipilan Kering,Kentang,Tomat
01/01/2024," 14,750 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 50,000 "," 68,000 "," 110,000 "," 31,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 56,000 "," 10,000 "," 17,000 "," 17,000 "
02/01/2024," 14,490 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 48,000 "," 68,000 "," 110,000 "," 31,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 54,000 "," 10,000 "," 17,000 "," 18,000 "
03/01/2024," 14,490 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 56,000 "," 64,000 "," 110,000 "," 30,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 56,000 "," 10,000 "," 17,000 "," 18,000 "
04/01/2024," 14,490 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 56,000 "," 65,000 "," 110,000 "," 30,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 56,000 "," 10,000 "," 17,000 "," 18,000 "
05/01/2024,#N/A," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 50,000 "," 58,000 "," 110,000 "," 30,000 "," 26,500 "," 16,500 "," 15,500 "," 10,000 "," 15,500 "," 52,000 "," 10,000 "," 17,000 "," 19,000 "
06/01/2024," 14,000 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 48,000 "," 54,000 "," 110,000 "," 30,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 48,000 "," 10,000 "," 17,000 "," 20,000 "
07/01/2024," 14,490 "," 12,450 "," 13,000 "," 35,000 "," 34,000 "," 48,000 "," 53,000 "," 110,000 "," 30,000 "," 26,500 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 48,000 "," 10,000 "," 17,000 "," 19,000 "
08/01/2024," 14,490 "," 12,450 "," 13,000 "," 34,000 "," 34,000 "," 52,000 "," 56,000 "," 110,000 "," 30,000 "," 26,000 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 53,000 "," 10,000 "," 17,000 "," 19,000 "
09/01/2024," 14,490 "," 12,450 "," 13,000 "," 34,000 "," 34,000 "," 55,000 "," 60,000 "," 110,000 "," 30,000 "," 26,000 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 55,000 "," 10,000 "," 17,000 "," 19,000 "
10/01/2024," 14,490 "," 12,450 "," 13,000 "," 34,000 "," 34,000 "," 52,000 "," 45,000 "," 110,000 "," 30,000 "," 26,000 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 52,000 "," 10,000 "," 17,000 "," 19,000 "
11/01/2024," 14,490 "," 12,450 "," 13,000 "," 34,000 "," 34,000 "," 53,000 "," 36,000 "," 110,000 "," 30,000 "," 26,000 "," 16,500 "," 15,500 "," 9,000 "," 15,500 "," 55,000 "," 10,000 "," 17,000 "," 19,000 "
