Kecamatan,Luas Panen 2019,Luas Panen 2020,Luas Panen 2021,Luas Panen 2022,Luas Panen 2023,Produksi 2019,Produksi 2020,Produksi 2021,Produksi 2022,Produksi 2023,Produktivitas 2019,Produktivitas 2020,Produktivitas 2021,Produktivitas 2022,Produktivitas 2023
Pesanggaran,1588,1664,2653,2583,2406,11020,11407,12600,12060,11980,69.4,68.55,65.06,67,66.91
Siliragung,2000,4969,2025,2328,2407,13640,33913,15890,16210,16520,68.2,68.25,74.51,67.4,67.81
Bangorejo,923,1187,1690,1790,2788,6318,8089,10850,11060,11420,68.45,68.15,64.2,67.37,66.72
Purwoharjo,941,2579,1047,1077,1012,6410,17563,6880,6740,6530,68.12,68.1,63.4,67.3,69.4
Tegaldlimo,1341,2517,1117,1094,2740,9400,17204,11706,11230,17730,70.1,68.35,64.23,67.49,70.7
Muncar,2213,2811,2563,2495,2348,15535,19494,15730,15260,15190,70.2,69.35,63.46,67.19,70.6
Cluring,729,1072,918,896,1436,4873,7209,6680,6390,7770,66.84,67.25,63.92,67.4,67.95
Gambiran,387,239,523,883,599,2582,1568,3130,3810,3340,66.72,65.61,64.56,67.39,67.75
Tegalsari,181,933,1181,1081,998,1203,6209,7030,6970,6720,66.46,66.55,66.97,67.5,67.25
Glenmore,331,60,288,192,367,2170,388,1100,990,1800,65.56,64.67,67.1,67.5,67.2
Kalibaru,441,247,488,919,1126,2878,1599,2040,3010,3820,65.26,64.74,63.7,67.51,65.2
Genteng,40,139,146,176,154,252,890,970,1135,1020,63,64.03,65.96,65.69,64.89
Srono,1024,1761,1393,1760,1664,6738,11491,1490,1036,1907,65.8,65.25,66.4,66.27,68.55
Rogojampi,232,267,206,259,269,1512,1737,1580,1965,2113,65.17,65.06,66.91,66.9,68.25
Blimbingsari       ,873,682,707,880,987,5686,4470,5220,5857,6089,65.13,65.54,67.81,68.01,68.15
Kabat,412,579,788,751,797,2649,3775,4820,4310,4963,64.3,65.2,66.72,67.36,68.1
Singojuruh,204,109,120,163,217,1306,708,830,938,1504,64.02,64.95,69.4,69.49,68.35
Sempu,913,213,740,889,811,5894,1396,3730,4173,5494,64.56,65.54,70.7,69.98,69.35
Songgon,115,245,348,358,372,738,1596,1690,1970,2109,64.17,65.14,70.6,67.91,67.25
Glagah,430,521,436,584,539,2746,3400,2870,3625,3568,63.86,65.26,67.95,68.13,65.61
Licin,124,174,199,139,233,793,1120,1340,1131,1609,63.95,64.37,67.75,68.16,66.55
Banyuwangi,154,147,998,949,860,940,946,3520,3330,3188,61.04,64.35,67.25,66.73,64.67
Giri,151,188,567,647,247,954,1206,2400,2565,1599,63.18,64.15,67.2,66.72,64.74
Kalipuro,2763,1146,3126,2211,2139,17480,7352,14820,11580,11290,63.26,64.15,65.2,66.75,64.03
Wongsorejo,7626,8153,8654,8959,8761,53622,56541,57320,58966,59491,70.31,69.35,64.89,64.81,65.25
Banyuwangi,26136,32602,32921,34063,36277,177339,221271,196236,196311,208764,67.85,67.87,66.634,67.3584,67.2492
